name,mass,radius,temperature,flux,potentially_habitable,ESI(%)
K2-3 d,2.2,1.458,305.2,1.44,1,45.63
TRAPPIST-1 f,0.68,1.045,219.0,0.382,1,34.82
TRAPPIST-1 g,1.34,1.127,198.6,0.258,1,26.29
Kepler-22 b,9.1,2.1,279.0,1.013,1,12.6
LP 890-9 c,25.3,1.367,272.0,0.906,1,12.47
LHS 1140 b,5.6,1.73,226.0,0.43,1,11.39
LHS 1140 b,6.65,1.43,230.0,0.46,1,10.98
PH2 b,87.08498352,9.33708092,295.1,1.2,1,10.95
LHS 1140 b,6.98,1.727,235.0,0.503,1,10.5
TOI-2134 c,41.89,7.27,306.0,1.4,1,9.88
K2-18 b,8.63,2.61,254.9,1.005,1,9.52
Kepler-1704 b,1322.16617312,11.94877343,253.8,0.342,1,8.15
Kepler-553 c,2129.4503269,11.57887706,251.0,0.589,1,7.89
Kepler-1661 b,17.0,3.87,243.0,0.88,1,7.16
Kepler-1654 b,158.915,9.180171,206.0,0.3,1,4.26
EPIC 248847494 b,4131.79,12.44199,183.0,0.19,1,2.87
WD 1856+534 b,4386.054,10.4,163.0,0.181,1,1.92
